,donor,acceptor,Label
1497,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,CCCCCCC1(CCCCCC)c2sc(/C=C3\C(=O)c4cc(F)ccc4C3=C(C#N)C#N)cc2-c2c(OC)c3c(c(OC)c21)-c1cc(/C=C2\C(=O)c4ccc(F)cc4C2=C(C#N)C#N)sc1C3(CCCCCC)CCCCCC,8.63
1498,CCCCC(CC)Cc1sc(CC(CC)CCCC)c2c1C(=O)c1c(-c3ccc(C)s3)sc(-c3ccc(C)s3)c1C2=O,CCCCCCC1=CCC(C2(c3ccc(CCCCCC)cc3)c3cc(CC4C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3ccc4cc5c6c(ccc7cc2c3c4c76)-c2sc(CC3C(=O)c4ccccc4C3=C(C#N)C#N)cc2C5(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)C=C1,10.14
1499,CCCCCCCCC(CCCCCC)Cn1nc2c(C3=CC4SC(c5cc6c(-c7cc(Cl)c(SCC(CC)CCCC)s7)c7sc(C)cc7c(-c7cc(Cl)c(SCC(CC)CCCC)s7)c6s5)=C(CCCCCC)C4S3)c(Cl)c(Cl)c(-c3cc4sc(C)c(CCCCCC)c4s3)c2n1,CCCCCCCCCCCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,13.41
1500,CCCCCCc1cc(C)sc1C,CCCCOc1c2c3c(ccc4c5c(-c6ccc(-c7cc8c9c(ccc%10c%11c(OCCOC)c(OCCOC)c%12c%13c(ccc(c7c9%10)c%13%11)C(=O)N(CC(CC)CCCC)C%12=O)C(=O)N(CC(CC)CCCC)C8=O)s6)cc6c7c(ccc(c(c1OCCOC)c34)c75)C(=O)N(CC(CC)CCCC)C6=O)C(=O)N(CC(CC)CCCC)C2=O,1.54
1501,CCCCC(CC)Cc1sc(-c2c3cc(-c4cc(C(=O)OCC)c(C)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,CCCCCCCCC(CCCCCCCC)n1c2cc3c(cc2c2cc4c(cc21)-c1sc(/C=C2\C(=O)c5cc(Cl)ccc5C2=C(C#N)C#N)cc1C4(c1cccc(CCCCCC)c1)c1ccccc1CCCCCC)C(c1cccc(CCCCCC)c1)(c1cccc(CCCCCC)c1)c1cc(/C=C2\C(=O)c4cc(Cl)ccc4C2=C(C#N)C#N)sc1-3,14.1
1502,CCCCCCCCC(CCCCCC)COC(=O)c1cc(-c2cc(C(=O)OCC(CCCCCC)CCCCCCCC)c(-c3ccc(-c4sc(C)cc4Cl)s3)s2)sc1C,CCCCCCC1(CCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4\C2=C(/C#N)N=O)sc1-3,9.44
1503,CCCCC(CC)Cc1sc(CC(CC)CCCC)c2c1C(=O)c1c(-c3ccc(C)s3)sc(-c3ccc(C)s3)c1C2=O,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7c(sc8ccccc78)C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5c(sc6ccccc56)C4=C(C#N)C#N)sc23)cc1,12.07
1504,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,CCCCCCC(CCCC)Cc1c(/C=C2\C(=O)c3cc(F)ccc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC(CCCC)CCCCCC)c(/C=C7\C(=O)c8cc(F)ccc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,16.82
1505,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6cc(F)c(CC(CC)CCCC)c(F)c6)c6oc(C)cc6c(-c6cc(F)c(CC(CC)CCCC)c(F)c6)c5o4)s3)c2n1,CCCCCCCCCCCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,13.34
1506,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,CCCCCCOc1cc2c3c(c(OCCCCCC)cc4c3c1-c1sc(-c3ccc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)s3)cc1C4(c1ccc(CCCCCC)cc1)c1ccc(CCCCCC)cc1)-c1sc(-c3ccc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)s3)cc1C2(c1ccc(CCCCCC)cc1)c1ccc(CCCCCC)cc1,13.27
1507,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6cc(F)c(CC(CC)CCCC)c(F)c6)c6oc(C)cc6c(-c6cc(F)c(CC(CC)CCCC)c(F)c6)c5o4)s3)c2n1,CCCCCCc1cccc(C2(c3cccc(CCCCCC)c3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2cccc(CCCCCC)c2)(c2cccc(CCCCCC)c2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)c1,8.86
